Guarida Imóveis ;Protásio alves, 1309 ;R$ 1.993,00 ;7/20 
Guarida Imóveis ;Protásio alves, 1309 ;R$ 1.874,00 ;5/21 
Guarida Imóveis ;Protásio alves, 1309 ;R$ 8.910,00 ;9/21 
Guarida Imóveis ;Protásio alves, 1309 ;R$ 5.173,00 ;4/22 
Guarida Imóveis ;Protásio alves, 1309 ;R$ 127,00 ;3/21 
Guarida Imóveis ;Protásio alves, 1309 ;R$ 9.357,00 ;2/20 
Guarida Imóveis ;Protásio alves, 1309 ;R$ 5.068,00 ;10/22 
Guarida Imóveis ;Protásio alves, 1309 ;R$ 3.393,00 ;2/21 
Guarida Imóveis ;Protásio alves, 1309 ;R$ 7.491,00 ;8/22 
Guarida Imóveis ;Protásio alves, 1309 ;R$ 1.993,00 ;7/20 
Guarida Imóveis ;Protásio alves, 1309 ;R$ 1.874,00 ;5/21 
Guarida Imóveis ;Protásio alves, 1309 ;R$ 8.910,00 ;9/21 
Guarida Imóveis ;Protásio alves, 1309 ;R$ 5.173,00 ;4/22 
Guarida Imóveis ;Protásio alves, 1309 ;R$ 127,00 ;3/21 
Guarida Imóveis ;Protásio alves, 1309 ;R$ 9.357,00 ;2/20 
Guarida Imóveis ;Protásio alves, 1309 ;R$ 5.068,00 ;10/22 
Guarida Imóveis ;Protásio alves, 1309 ;R$ 3.393,00 ;2/21 
Guarida Imóveis ;Protásio alves, 1309 ;R$ 7.491,00 ;8/22 
